item	type	count
WORD/musique	word	273452
WORD/m	word	273213
WORD/certains	word	272822
WORD/deuxième	word	272456
WORD/football	word	271433
WORD/près	word	269839
WORD/toujours	word	268848
WORD/coupe	word	268407
WORD/rôle	word	267612
WORD/jour	word	267437
WORD/charles	word	267029
WORD/mise	word	266605
WORD/année	word	265523
WORD/voir	word	265207
WORD/chef	word	264599
WORD/mois	word	263415
WORD/toutes	word	262373
WORD/25	word	262226
WORD/dit	word	260834
WORD/château	word	260536
WORD/dès	word	260509
WORD/2002	word	260192
WORD/souvent	word	260155
WORD/24	word	259923
WORD/parti	word	259364
WORD/conseil	word	259232
WORD/projet	word	258553
WORD/situé	word	257828
WORD/quand	word	256634
WORD/false	word	255349
WORD/cependant	word	254951
WORD/tard	word	254748
WORD/face	word	254564
WORD/marie	word	253511
WORD/nombreux	word	253176
WORD/paul	word	252140
WORD/afin	word	250274
WORD/tant	word	249529
WORD/toute	word	248993
WORD/jeu	word	248768
WORD/reste	word	248646
WORD/petit	word	248264
WORD/rue	word	247699
WORD/2001	word	247305
WORD/maison	word	246229
WORD/étant	word	244975
WORD/nous	word	244462
WORD/ça	word	243939
WORD/françois	word	241384
WORD/gouvernement	word	241360
WORD/articles	word	240906
WORD/droit	word	240562
WORD/sera	word	240280
WORD/ii	word	238882
WORD/service	word	238855
WORD/déjà	word	235973
WORD/superficie	word	235720
WORD/membre	word	235708
WORD/jours	word	235705
WORD/seconde	word	235439
WORD/république	word	235072
WORD/base	word	234780
WORD/cinq	word	233668
WORD/théâtre	word	233145
WORD/demande	word	233117
WORD/1990	word	232571
WORD/province	word	232471
WORD/scène	word	232429
WORD/données	word	231452
WORD/jacques	word	231050
WORD/homme	word	229906
WORD/ouest	word	229533
WORD/travail	word	229264
WORD/éditions	word	226415
WORD/s	word	225510
WORD/niveau	word	224969
WORD/système	word	224518
WORD/26	word	223718
WORD/1998	word	223059
WORD/musée	word	222724
WORD/étaient	word	222443
WORD/version	word	220765
WORD/john	word	218833
WORD/production	word	218158
WORD/28	word	218066
WORD/elles	word	217528
WORD/nommé	word	217206
WORD/personnes	word	216632
WORD/peuvent	word	215608
WORD/porte	word	215606
WORD/international	word	215387
WORD/type	word	214896
WORD/wikipédia	word	214777
WORD/troisième	word	214493
WORD/là	word	214333
WORD/27	word	214008
WORD/ancien	word	213699
WORD/n	word	213305
WORD/siège	word	211982
WORD/femme	word	211499
WORD/joueur	word	211470
WORD/mondiale	word	210931
WORD/ceux	word	210392
WORD/terre	word	208922
WORD/communauté	word	208449
WORD/période	word	208323
WORD/membres	word	208067
WORD/effet	word	207872
WORD/000	word	207393
WORD/jeune	word	207240
WORD/texte	word	206828
WORD/long	word	206175
WORD/création	word	205888
WORD/raison	word	205769
WORD/29	word	205477
WORD/parmi	word	205225
WORD/présente	word	203711
WORD/i	word	203374
WORD/beaucoup	word	202890
WORD/etc	word	202714
WORD/c	word	202297
WORD/prend	word	202215
WORD/dire	word	201664
WORD/anglais	word	201512
WORD/corps	word	201335
WORD/seul	word	201245
WORD/points	word	199939
WORD/vignette	word	199148
WORD/bas	word	198666
WORD/ministre	word	197734
WORD/meilleur	word	197729
WORD/fille	word	197551
WORD/tête	word	195832
WORD/michel	word	195397
WORD/livre	word	194755
WORD/carrière	word	194277
WORD/pouvoir	word	194105
WORD/gauche	word	193807
WORD/robert	word	193151
WORD/territoire	word	192974
WORD/merci	word	191960
WORD/match	word	191781
WORD/sources	word	191244
WORD/1997	word	190258
WORD/premiers	word	190244
WORD/royaume	word	188729
WORD/route	word	188313
WORD/album	word	188192
WORD/haut	word	187724
WORD/grâce	word	187604
WORD/semble	word	187569
WORD/tu	word	187452
WORD/environ	word	187248
WORD/finale	word	187194
WORD/1996	word	186958
WORD/va	word	186567
WORD/espèce	word	186444
WORD/roman	word	185625
WORD/nombreuses	word	185556
WORD/olympiques	word	183801
WORD/l	word	183800
WORD/côté	word	183636
WORD/faut	word	183630
WORD/division	word	183380
WORD/public	word	182270
WORD/york	word	181985
WORD/1995	word	181715
WORD/date	word	181625
WORD/loi	word	181173
WORD/six	word	180931
WORD/différents	word	180550
WORD/développement	word	180247
WORD/enfants	word	179959
WORD/hommes	word	179667
WORD/histoire	word	179551
WORD/direction	word	178713
WORD/champion	word	178640
WORD/genre	word	178512
WORD/devant	word	177913
WORD/construction	word	177504
WORD/poste	word	177491
WORD/rapport	word	177177
WORD/but	word	176823
WORD/créé	word	176001
WORD/bataille	word	175486
WORD/équipe	word	175400
WORD/recherche	word	174984
WORD/connu	word	174552
WORD/sorti	word	174454
WORD/serait	word	174299
WORD/dernière	word	172820
WORD/écrit	word	172346
WORD/référence	word	171746
WORD/laquelle	word	171079
WORD/terme	word	170912
WORD/style	word	170857
WORD/petite	word	170697
WORD/ici	word	170616
WORD/lorsque	word	170547
WORD/britannique	word	170270
WORD/j	word	169912
WORD/second	word	169899
WORD/militaire	word	169691
WORD/1994	word	169561
WORD/eu	word	169018
WORD/vue	word	168630
WORD/mon	word	168572
WORD/mer	word	168402
WORD/e	word	167907
WORD/surtout	word	167856
WORD/question	word	167720
WORD/recensement	word	167465
WORD/plan	word	167272
WORD/1980	word	167047
WORD/bois	word	166970
WORD/réalisé	word	166939
