item	type	count
WORD/25	word	272899
WORD/große	word	272470
WORD/denen	word	272392
WORD/erstmals	word	272388
WORD/2017	word	272236
WORD/miniatur	word	271021
WORD/allerdings	word	270946
WORD/nahm	word	270886
WORD/spielte	word	268326
WORD/andere	word	268024
WORD/peter	word	267808
WORD/ins	word	267745
WORD/fünf	word	266421
WORD/immer	word	265100
WORD/wilhelm	word	261902
WORD/gewann	word	259323
WORD/name	word	258551
WORD/könig	word	257626
WORD/1990	word	256942
WORD/1996	word	255932
WORD/außerdem	word	254963
WORD/1997	word	254169
WORD/aufgrund	word	253407
WORD/b	word	251832
WORD/schloss	word	250746
WORD/titel	word	250308
WORD/york	word	250157
WORD/gehörte	word	249931
WORD/danach	word	248646
WORD/21	word	248542
WORD/1994	word	247463
WORD/menschen	word	245588
WORD/bezeichnet	word	245497
WORD/viele	word	245304
WORD/heinrich	word	244872
WORD/sondern	word	243638
WORD/steht	word	242754
WORD/university	word	242740
WORD/24	word	242673
WORD/e	word	241242
WORD/1995	word	241225
WORD/ging	word	239843
WORD/liste	word	239556
WORD/dazu	word	239464
WORD/gehört	word	239015
WORD/1992	word	238229
WORD/mehrere	word	236979
WORD/trat	word	236948
WORD/seines	word	235894
WORD/john	word	235353
WORD/meter	word	233922
WORD/gruppe	word	232372
WORD/rund	word	232288
WORD/sei	word	231600
WORD/paris	word	231248
WORD/insgesamt	word	230613
WORD/genannt	word	229968
WORD/weiteren	word	229759
WORD/1993	word	229280
WORD/führte	word	228490
WORD/c	word	228075
WORD/1991	word	227859
WORD/22	word	226337
WORD/usa	word	225785
WORD/besteht	word	224649
WORD/diesen	word	224417
WORD/paul	word	223966
WORD/nr	word	223762
WORD/tod	word	222411
WORD/straße	word	221572
WORD/ihrem	word	221226
WORD/1989	word	220862
WORD/landkreis	word	220352
WORD/zudem	word	219021
WORD/seite	word	218518
WORD/siehe	word	217551
WORD/hatten	word	215654
WORD/schließlich	word	215083
WORD/sollte	word	214910
WORD/soll	word	214596
